Data Number,Hour,Minute,Data Value
1,11,2,"{'counter': [0], 'valueRecord': ['28.59\r\n'], 'hour': [11], 'minute': [2]}"
2,11,2,"{'counter': [0, 1], 'valueRecord': ['28.59\r\n', '29.21\r\n'], 'hour': [11, 11], 'minute': [2, 2]}"
3,11,2,"{'counter': [0, 1, 2], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n'], 'hour': [11, 11, 11], 'minute': [2, 2, 2]}"
4,11,2,"{'counter': [0, 1, 2, 3], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n'], 'hour': [11, 11, 11, 11], 'minute': [2, 2, 2, 2]}"
5,11,2,"{'counter': [0, 1, 2, 3, 4], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n'], 'hour': [11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2]}"
6,11,2,"{'counter': [0, 1, 2, 3, 4, 5], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n'], 'hour': [11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2]}"
7,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2]}"
8,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2]}"
9,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2]}"
10,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
11,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
12,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
13,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
14,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
15,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
16,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
17,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
18,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
19,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
20,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
21,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
22,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
23,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
