Data Number,Hour,Minute,Seconds,Data Value
1,11,7,50,1
2,11,7,51,391.21
3,11,7,53,2252.19
4,11,7,53,2251.97
5,11,7,54,2249.53
6,11,7,54,2250.77
7,11,7,54,2251.69
8,11,7,54,2250.99
9,11,7,54,2251.18
10,11,7,54,2233.92
11,11,7,55,392.46
12,11,7,55,391.93
13,11,7,55,2117.70
14,11,7,55,391.21
15,11,7,55,390.66
16,11,7,55,2135.72
17,11,7,55,2233.07
18,11,7,55,2231.90
19,11,7,55,392.89
20,11,7,55,276.66
21,11,7,55,277.04
22,11,7,55,2118.40
23,11,7,56,290.50
24,11,7,56,392.05
25,11,7,56,393.37
26,11,7,56,274.83
27,11,7,56,391.50
28,11,7,56,315.54
29,11,7,56,275.67
30,11,7,56,292.90
31,11,7,56,391.55
32,11,7,56,391.95
33,11,7,56,302.32
34,11,7,56,296.70
35,11,7,56,392.07
36,11,7,56,276.54
37,11,7,56,2234.97
38,11,7,56,328.03
39,11,7,56,390.76
40,11,7,56,391.96
41,11,7,56,391.98
42,11,7,56,366.63
43,11,7,56,390.81
44,11,7,56,391.67
45,11,7,56,2230.13
46,11,7,57,2234.47
47,11,7,57,2235.33
48,11,7,57,2238.37
49,11,7,57,391.93
50,11,7,57,2230.65
51,11,7,57,2232.43
52,11,7,57,2234.15
53,11,7,58,276.10
54,11,7,58,2232.33
55,11,7,58,391.60
56,11,7,58,2115.71
57,11,7,58,2235.35
58,11,7,58,2233.29
59,11,7,58,2229.84
60,11,7,58,2228.99
61,11,7,58,391.95
62,11,7,59,2113.26
63,11,7,59,392.03
64,11,7,59,314.12
65,11,7,59,277.50
66,11,7,59,2116.81
67,11,7,59,391.16
68,11,7,59,390.25
69,11,7,59,392.53
70,11,7,59,150.35
71,11,7,59,391.19
72,11,7,59,2116.26
73,11,7,59,2233.43
74,11,7,59,2234.61
75,11,8,0,2233.15
76,11,8,0,391.93
77,11,8,0,2116.84
78,11,8,0,393.35
79,11,8,0,2117.03
80,11,8,0,392.36
81,11,8,0,278.12
82,11,8,0,2117.29
83,11,8,0,392.03
84,11,8,0,2231.04
85,11,8,0,392.91
86,11,8,0,378.24
87,11,8,1,2113.69
88,11,8,1,391.95
89,11,8,1,2114.80
90,11,8,1,2235.37
91,11,8,1,390.25
92,11,8,1,316.88
93,11,8,1,393.23
94,11,8,1,256.62
95,11,8,1,2115.97
96,11,8,1,2234.47
97,11,8,1,2234.54
98,11,8,2,390.21
99,11,8,2,274.83
100,11,8,2,391.64
101,11,8,2,391.19
102,11,8,2,245.55
103,11,8,2,2172.29
